Season,Week,GameStatus,Day,Date,AwayTeam,AwayRecord,AwayScore,AwayWin,HomeTeam,HomeRecord,HomeScore,HomeWin,AwaySeeding,HomeSeeding,PostSeason
2021,Week 9,FINAL,SUN,11/07,Titans,7-2,28.0,1.0,Rams,7-2,16.0,0.0,,,0
2021,Week 9,FINAL,MON,11/08,Bears,3-6,27.0,0.0,Steelers,5-3,29.0,1.0,,,0
2021,Week 9,BYE,,,Football,ea,,,,,,,,,0
2021,Week 9,BYE,,,Buccaneers,0-0,,,,,,,,,0
2021,Week 9,BYE,,,Lions,0-0,,,,,,,,,0
2021,Week 9,BYE,,,Seahawks,0-0,,,,,,,,,0
2021,Week 10,FINAL,THU,11/11,Ravens,6-3,10.0,0.0,Dolphins,3-7,22.0,1.0,,,0
2021,Week 10,FINAL,SUN,11/14,Bills,6-3,45.0,1.0,Jets,2-7,17.0,0.0,,,0
2021,Week 10,FINAL,SUN,11/14,Buccaneers,6-3,19.0,0.0,Football Team,3-6,29.0,1.0,,,0
2021,Week 10,FINAL,SUN,11/14,Falcons,4-5,3.0,0.0,Cowboys,7-2,43.0,1.0,,,0
2021,Week 10,FINAL,SUN,11/14,Saints,5-4,21.0,0.0,Titans,8-2,23.0,1.0,,,0
2021,Week 10,FINAL,SUN,11/14,Jaguars,2-7,17.0,0.0,Colts,5-5,23.0,1.0,,,0
2021,Week 10,FINAL,SUN,11/14,Lions,0-8-1,16.0,0.0,Steelers,5-3-1,16.0,0.0,,,0
2021,Week 10,FINAL,SUN,11/14,Browns,5-5,7.0,0.0,Patriots,6-4,45.0,1.0,,,0
2021,Week 10,FINAL,SUN,11/14,Vikings,4-5,27.0,1.0,Chargers,5-4,20.0,0.0,,,0
2021,Week 10,FINAL,SUN,11/14,Panthers,5-5,34.0,1.0,Cardinals,8-2,10.0,0.0,,,0
2021,Week 10,FINAL,SUN,11/14,Eagles,4-6,30.0,1.0,Broncos,5-5,13.0,0.0,,,0
2021,Week 10,FINAL,SUN,11/14,Seahawks,3-6,0.0,0.0,Packers,8-2,17.0,1.0,,,0
2021,Week 10,FINAL,SUN,11/14,Chiefs,6-4,41.0,1.0,Raiders,5-4,14.0,0.0,,,0
2021,Week 10,FINAL,MON,11/15,Rams,7-3,10.0,0.0,49ers,4-5,31.0,1.0,,,0
2021,Week 10,BYE,,,Texans,0-0,,,,,,,,,0
2021,Week 10,BYE,,,Bears,0-0,,,,,,,,,0
2021,Week 10,BYE,,,Bengals,0-0,,,,,,,,,0
2021,Week 10,BYE,,,Giants,0-0,,,,,,,,,0
2021,Week 11,FINAL,THU,11/18,Patriots,7-4,25.0,1.0,Falcons,4-6,0.0,0.0,,,0
2021,Week 11,FINAL,SUN,11/21,Saints,5-5,29.0,0.0,Eagles,5-6,40.0,1.0,,,0
2021,Week 11,FINAL,SUN,11/21,Dolphins,4-7,24.0,1.0,Jets,2-8,17.0,0.0,,,0
2021,Week 11,FINAL,SUN,11/21,Football Team,4-6,27.0,1.0,Panthers,5-6,21.0,0.0,,,0
2021,Week 11,FINAL,SUN,11/21,Colts,6-5,41.0,1.0,Bills,6-4,15.0,0.0,,,0
2021,Week 11,FINAL,SUN,11/21,Lions,0-9-1,10.0,0.0,Browns,6-5,13.0,1.0,,,0
2021,Week 11,FINAL,SUN,11/21,49ers,5-5,30.0,1.0,Jaguars,2-8,10.0,0.0,,,0
2021,Week 11,FINAL,SUN,11/21,Texans,2-8,22.0,1.0,Titans,8-3,13.0,0.0,,,0
2021,Week 11,FINAL,SUN,11/21,Packers,8-3,31.0,0.0,Vikings,5-5,34.0,1.0,,,0
2021,Week 11,FINAL,SUN,11/21,Ravens,7-3,16.0,1.0,Bears,3-7,13.0,0.0,,,0
2021,Week 11,FINAL,SUN,11/21,Bengals,6-4,32.0,1.0,Raiders,5-5,13.0,0.0,,,0
2021,Week 11,FINAL,SUN,11/21,Cardinals,9-2,23.0,1.0,Seahawks,3-7,13.0,0.0,,,0
2021,Week 11,FINAL,SUN,11/21,Cowboys,7-3,9.0,0.0,Chiefs,7-4,19.0,1.0,,,0
2021,Week 11,FINAL,SUN,11/21,Steelers,5-4-1,37.0,0.0,Chargers,6-4,41.0,1.0,,,0
2021,Week 11,FINAL,MON,11/22,Giants,3-7,10.0,0.0,Buccaneers,7-3,30.0,1.0,,,0
2021,Week 11,BYE,,,Broncos,0-0,,,,,,,,,0
